page_id,page_len,page_touched
7869295,899,20160612140740
2979744,4716,20160704191912
2033035,7381,20160704191912
46465952,2701,20160625013352
26374218,1612,20160606003310
42491233,33474,20160709190014
1646723,10393,20160706102845
6622032,1558,20160606152749
36438303,472,20160616210248
33582045,7966,20160623144143
10890410,1756,20160623144143
871012,54813,20160630081119
20688874,2748,20160717082842
13718808,75773,20160712055935
43007233,8903,20160711111607
23204456,2173,20160710122901
3574801,2493,20160612140740
38906813,2438,20160623144143
2327021,472,20160710113533
18952865,1042,20160606003310
21262131,1970,20160717125310
47175867,3934,20160715202143
40266817,7058,20160606003310
28991117,8765,20160710181651
38939059,1486,20160707032011
13758142,3495,20160626155916
10075160,976,20160712213917
35278707,2317,20160712140710
35472243,2340,20160612050707
31083025,5622,20160714220647
1147895,3358,20160716030340
4162229,3322,20160712213917
4609094,1845,20160712235751
1812809,11749,20160629003426
41308783,3751,20160624102239
18404269,7902,20160610210455
41207422,17325,20160629003426
12461307,1234,20160606003310
23571081,849,20160629231142
38911815,2996,20160715135517
9389846,3843,20160717062054
34599750,2073,20160704191912
27093098,2927,20160606003310
515789,43859,20160716193020
600417,83970,20160717080337
2780101,7368,20160713160854
715006,2437,20160606003310
17861165,4762,20160703064912
23393874,18122,20160717165950
27599565,461,20160608023238
32765047,1567,20160617051242
2645341,3478,20160717110452
47802581,5216,20160716035350
37765588,932,20160612173720
22594386,2042,20160708225438
13319587,10464,20160707110308
36904393,6400,20160629205806
22135724,2173,20160708190033
16693090,2280,20160708224003
40190923,6228,20160623144143
16496313,3534,20160625061853
29983422,3570,20160704191912
27970,8313,20160716130958
23908950,426,20160709201457
180529,8523,20160707221506
19878508,4292,20160717133339
49653893,2408,20160707230445
13723202,9142,20160704191912
37191218,6872,20160611033621
14852773,1597,20160712213917
13682038,1822,20160623144143
37197171,1590,20160629205806
11574698,7242,20160612140740
24531184,1360,20160606003310
9058832,9281,20160625061853
4622421,16065,20160713030710
671435,9446,20160629225142
30166600,6458,20160708232228
36702131,5715,20160716234757
42622001,2629,20160625183857
28059601,2237,20160704194101
17013685,1286,20160706134910
23771439,1487,20160606003310
9116842,5620,20160623144143
17703850,557,20160717035208
49833561,4511,20160629205806
29793794,8535,20160704191912
44526837,2367,20160708195009
20803090,4291,20160712140710
38954720,1772,20160623144143
3992639,9073,20160712015956
46969484,1911,20160704163201
