page_id,page_len,page_touched
2979744,4716,20160704191912
2033035,7381,20160704191912
46465952,2701,20160625013352
42491233,33474,20160709190014
1646723,10393,20160706102845
871012,54813,20160630081119
20688874,2748,20160717082842
13718808,75773,20160712055935
43007233,8903,20160711111607
23204456,2173,20160710122901
2327021,472,20160710113533
21262131,1970,20160717125310
47175867,3934,20160715202143
28991117,8765,20160710181651
38939059,1486,20160707032011
13758142,3495,20160626155916
10075160,976,20160712213917
35278707,2317,20160712140710
31083025,5622,20160714220647
1147895,3358,20160716030340
4162229,3322,20160712213917
4609094,1845,20160712235751
1812809,11749,20160629003426
41207422,17325,20160629003426
23571081,849,20160629231142
38911815,2996,20160715135517
9389846,3843,20160717062054
34599750,2073,20160704191912
515789,43859,20160716193020
600417,83970,20160717080337
2780101,7368,20160713160854
17861165,4762,20160703064912
23393874,18122,20160717165950
2645341,3478,20160717110452
47802581,5216,20160716035350
22594386,2042,20160708225438
13319587,10464,20160707110308
36904393,6400,20160629205806
22135724,2173,20160708190033
16693090,2280,20160708224003
16496313,3534,20160625061853
29983422,3570,20160704191912
27970,8313,20160716130958
23908950,426,20160709201457
180529,8523,20160707221506
19878508,4292,20160717133339
49653893,2408,20160707230445
13723202,9142,20160704191912
14852773,1597,20160712213917
37197171,1590,20160629205806
9058832,9281,20160625061853
4622421,16065,20160713030710
671435,9446,20160629225142
30166600,6458,20160708232228
36702131,5715,20160716234757
42622001,2629,20160625183857
28059601,2237,20160704194101
17013685,1286,20160706134910
17703850,557,20160717035208
49833561,4511,20160629205806
29793794,8535,20160704191912
44526837,2367,20160708195009
20803090,4291,20160712140710
3992639,9073,20160712015956
46969484,1911,20160704163201
39662089,4030,20160714160125
41682630,5974,20160702224131
11142347,2661,20160712235751
44366024,1627,20160709010638
11938348,5548,20160712213917
13397152,1671,20160712061232
2704921,1118,20160712235751
5618965,3019,20160712235751
50792019,2070,20160704083237
13086770,7795,20160716033153
5895735,3671,20160703064912
50477678,2423,20160704185224
2241479,10079,20160708123216
9786280,1504,20160704163201
8631625,5557,20160630233028
8888728,4995,20160704163201
35214925,3126,20160706011421
46882425,1631,20160713004431
36314176,3203,20160712055935
15793916,5518,20160717104037
24138478,1103,20160704191912
93927,25160,20160717100626
616119,8700,20160717082104
19984875,20336,20160715230537
697164,4179,20160712213917
18555196,3988,20160717071116
50450753,2942,20160714085812
31543457,6790,20160717034819
923258,4234,20160625061853
18326259,1656,20160714205212
18924260,1374,20160715203012
21331594,13123,20160717112947
168414,7655,20160717051719
14418123,2422,20160717185441
41408032,1330,20160711213208
39746302,13102,20160708234139
251245,18001,20160716171542
48711483,9655,20160713054916
23776189,14354,20160709170226
50597968,3373,20160705185634
77060,10756,20160717081950
23805932,12492,20160717123453
7155131,6133,20160705100358
274062,4661,20160713160356
45550992,1990,20160629205806
177375,5189,20160712235751
12485339,3125,20160712124341
34648000,1078,20160712140710
14348829,7803,20160715084445
29046229,3428,20160712101242
40071985,8330,20160712101242
31893936,5276,20160626155916
43842705,1830,20160629003426
45206798,1817,20160707032011
39662605,4318,20160629231142
25157422,1535,20160715131807
43151715,5221,20160710181651
2833143,5388,20160630125743
15793586,1329,20160712213917
50575806,1588,20160627115540
2578371,2953,20160717034434
9882676,1873,20160712235751
2268111,2434,20160712235751
23962991,12629,20160711213651
44911751,1685,20160704163201
1332881,5356,20160712235751
8495446,1681,20160708222903
25046197,723,20160709003608
961423,9138,20160713235048
1076134,4379,20160704191912
36383285,24058,20160717034504
41193946,3222,20160704191912
3173750,3987,20160630020659
8407473,5275,20160704191912
12177552,877,20160712235751
