page_id,page_namespace,page_title,page_restrictions,page_counter,page_is_redirect,page_is_new,page_random,page_touched,page_links_updated,page_latest,page_len,page_content_model,pr_page,pr_type,pr_level,pr_cascade,pr_user,pr_expiry,pr_id
25,0,Autism,,558,0,0,0.626026654267708,20160705210334,20160705210338,728503740,146470,wikitext,25,edit,autoconfirmed,0,,infinity,373620
290,0,A,,2377,0,0,0.854180265082214,20160709170824,20160709170532,725198152,19399,wikitext,290,edit,autoconfirmed,0,,infinity,394424
307,0,Abraham_Lincoln,,8013,0,0,0.7447768540538631,20160709073542,20160709003852,728371848,171988,wikitext,307,edit,autoconfirmed,0,,infinity,302458
308,0,Aristotle,,4612,0,0,0.760631184802047,20160708133344,20160708133346,728907803,109151,wikitext,308,edit,autoconfirmed,0,,infinity,314504
594,0,Apollo,,3346,0,0,0.0151985278494642,20160704191912,20160704192315,728340218,126233,wikitext,594,edit,autoconfirmed,0,,infinity,523018
620,0,Animal_Farm,,530,0,0,0.0889220601775889,20160705100358,20160705100513,727823977,66673,wikitext,620,edit,autoconfirmed,0,,infinity,527142
624,0,Alaska,,1527,0,0,0.290015585059315,20160708072835,20160708072836,728356845,131729,wikitext,624,edit,autoconfirmed,0,,infinity,573302
628,0,Aldous_Huxley,,669,0,0,0.272666822441543,20160705100358,20160705100449,727781810,48260,wikitext,628,edit,autoconfirmed,0,,20161225220105,625181
655,0,Abacus,,1421,0,0,0.9342102463675761,20160704191912,20160704192354,715213523,43130,wikitext,655,edit,autoconfirmed,0,,20160906162351,588481
662,0,Apollo_11,,935,0,0,0.22128563860551,20160709150440,20160709150442,729053780,89048,wikitext,662,edit,autoconfirmed,0,,infinity,451504
664,0,Astronaut,,1165,0,0,0.452659308400619,20160708093048,20160707182935,728796540,52658,wikitext,664,edit,autoconfirmed,0,,infinity,527968
689,0,Asia,,4047,0,0,0.509229393218858,20160709102923,20160709102927,729030298,87499,wikitext,689,edit,autoconfirmed,0,,infinity,465574
691,0,Articles_of_Confederation,,682,0,0,0.5549927070317721,20160707220128,20160706183723,726832944,66805,wikitext,691,edit,autoconfirmed,0,,infinity,594769
736,0,Albert_Einstein,,4698,0,0,0.9886183561651211,20160709215749,20160709204511,729091902,136562,wikitext,736,edit,autoconfirmed,0,,infinity,228747
737,0,Afghanistan,,3621,0,0,0.999804774299082,20160708100600,20160706233336,728685282,160351,wikitext,737,edit,autoconfirmed,0,,infinity,513175
740,0,Allah,,1255,0,0,0.732642912056896,20160704191912,20160704192459,727686280,37755,wikitext,740,edit,autoconfirmed,0,,infinity,205630
752,0,Art,,2992,0,0,0.932138658996801,20160705100358,20160705100451,727686255,79979,wikitext,752,edit,autoconfirmed,0,,infinity,129925
765,0,Abortion,,2394,0,0,0.24489971459368198,20160706033202,20160706033206,728554278,147658,wikitext,765,edit,autoconfirmed,0,,infinity,401975
783,0,Alexander_the_Great,,3364,0,0,0.934916307157759,20160709013527,20160709013530,728987409,136862,wikitext,783,edit,autoconfirmed,0,,infinity,314602
800,0,Anime,,5032,0,0,0.518339013232234,20160707175718,20160707175720,728792188,56886,wikitext,800,edit,autoconfirmed,0,,infinity,287811
809,0,Anaconda,,202,0,0,0.836140101622921,20160704191912,20160704192533,710907264,6099,wikitext,809,edit,autoconfirmed,0,,infinity,568295
841,0,Attila,,2669,0,0,0.559561062193998,20160706231529,20160706231531,728683395,62754,wikitext,841,edit,autoconfirmed,0,,infinity,327522
848,0,Audi,,331,0,0,0.6710700547984519,20160708091456,20160708091437,728234823,127154,wikitext,848,edit,autoconfirmed,0,,infinity,566724
851,0,Alfred_Nobel,,1161,0,0,0.572620198663902,20160704191912,20160704192534,727847345,24756,wikitext,851,edit,autoconfirmed,0,,20190403105337,614919
852,0,Alexander_Graham_Bell,,1695,0,0,0.467274036693642,20160708214443,20160705100440,727773302,129557,wikitext,852,edit,autoconfirmed,0,,infinity,340618
856,0,Apple_Inc.,,1776,0,0,0.9183281687259011,20160708213617,20160708212750,728765683,204863,wikitext,856,edit,autoconfirmed,0,,infinity,455513
863,0,American_Civil_War,,3743,0,0,0.524773406353568,20160705231623,20160705231728,727616668,174293,wikitext,863,edit,autoconfirmed,0,,infinity,213285
864,0,Andy_Warhol,,786,0,0,0.461731777025137,20160707172929,20160707172932,728788970,103532,wikitext,864,edit,autoconfirmed,0,,infinity,549863
874,0,Ancient_Egypt,,112,0,0,0.102764899006826,20160706075739,20160706075741,728582204,127666,wikitext,874,edit,autoconfirmed,0,,infinity,314506
890,0,Anna_Kournikova,,991,0,0,0.466315046387087,20160708095650,20160704192500,727687113,48090,wikitext,890,edit,autoconfirmed,0,,infinity,493965
902,0,Atom,,5665,0,0,0.28369618326769797,20160707145507,20160707145659,727689305,111627,wikitext,902,edit,autoconfirmed,0,,infinity,598227
929,0,Alpha,,350,0,0,0.22538030727336197,20160707124620,20160707124635,727687304,9080,wikitext,929,edit,autoconfirmed,0,,infinity,384032
1014,0,Alcohol,,3588,0,0,0.289619596013445,20160704210727,20160704210730,728356515,42565,wikitext,1014,edit,autoconfirmed,0,,infinity,314508
1038,0,Aarhus,,164,0,0,0.6425330663496011,20160709153523,20160709153526,729057372,155139,wikitext,1038,edit,autoconfirmed,0,,infinity,626331
1078,0,Antisemitism,,4633,0,0,0.8391935451321241,20160709040907,20160709040908,727751298,176556,wikitext,1078,edit,autoconfirmed,0,,infinity,498630
1174,0,Aphrodite,,2066,0,0,0.9573320448001209,20160704191912,20160704192336,727554947,33280,wikitext,1174,edit,autoconfirmed,0,,infinity,335105
1178,0,Afterlife,,818,0,0,0.282616054902427,20160706231517,20160706231520,728683378,93834,wikitext,1178,edit,autoconfirmed,0,,20161123193951,598718
1273,0,Augustus,,3562,0,0,0.401777292044626,20160708195629,20160708170435,728930816,138177,wikitext,1273,edit,autoconfirmed,0,,infinity,591463
1520,0,Aachen,,507,0,0,0.31492971658234503,20160706213401,20160706213404,728672375,80556,wikitext,1520,edit,autoconfirmed,0,,20160715135423,616621
1537,0,Acupuncture,,318,0,0,0.31936268724441796,20160709063626,20160709063630,729011687,200107,wikitext,1537,edit,autoconfirmed,0,,infinity,573427
1560,0,Ahmad_Shah_Durrani,,160,0,0,0.6409744011619819,20160705100358,20160705100429,727966814,45894,wikitext,1560,edit,autoconfirmed,0,,infinity,314511
1623,0,Andrew_Jackson,,2230,0,0,0.15441033631042597,20160709173654,20160709173657,729071517,135283,wikitext,1623,edit,autoconfirmed,0,,infinity,312272
1770,0,Apollo_13,,363,0,0,0.0406175628682762,20160704191912,20160704192621,720778726,69685,wikitext,1770,edit,autoconfirmed,0,,infinity,302531
