,0
3790265,List_of_cattle_breeds
11198392,Neck_pain
12060,Demographics_of_Georgia_(country)
14233178,Free_for_All_Tour_Demo
29272484,Swimming_at_the_2010_Asian_Games
6261576,BOR-4
9751594,Law_of_Indonesia
34491098,Godfrey_Poku
9839520,Heterotrimeric_G_protein
11691936,University_of_the_Philippines_College_of_Law
157955,Hazzan
34937099,Amrita_Institute_of_Medical_Sciences_and_Research_Centre
19948104,Thomas_Bond_(British_physician)
9045101,Leonardo_Quisumbing
41938055,Darbandkan
1544179,Technogaianism
2198135,Henry_&_June
8193361,1095_Tulipa
24587813,Big_West_Conference_Men's_Basketball_Tournament
44611351,"Tromsø_Heliport,_University_Hospital"
24408906,Hardy_Bucks
271980,Madhhab
46642356,Canoeing_at_the_2015_Pan_American_Games_–_Women's_K-1_500_metres
14314713,"Alabama_gubernatorial_election,_1970"
3536037,Magnus_Heinason
44859162,Kocherinovo_Municipality
2642709,Bagrationovsk
46396577,Polemograptis_miltocosma
30128969,List_of_libraries_in_19th-century_Philadelphia
8545899,Swedish_Cottage_Marionette_Theatre
104653,"Ozark,_Alabama"
2233445,Trevor_Bardette
5211427,Söllichau
51012609,Rowing_at_the_1952_Summer_Olympics_-_Men's_coxless_pairs
22477882,Kyshtym_disaster
762869,Rous_Cup
73467,Five_Easy_Pieces
784363,Joseph_Albo
25667162,Eulamprus_quoyii
22875167,Henry_Gartside_Neville
10601100,Garth_(comics)
2345639,John_Clements_Wickham
6841950,KPVM-LP
41578191,"Charmahin,_Ardestan"
50715922,Order_of_Friars_Minor
6058695,Horicon_Marsh
2192827,Margilan
1024501,Conan_the_Destroyer
579364,"Maria_of_Portugal,_Queen_of_Castile"
624361,Autophagy
5431142,Dan_Karaty
7562818,Christopher_Page
167151,John_John_Molina
1259276,Panthéon-Assas_University
36448415,Not_Suitable_for_Children
695351,U.S._Route_62
584005,Três_Corações
39014590,Georges_Lecointe_(explorer)
3286178,Olivier_Latry
79243,History_of_the_United_States_National_Security_Council_1953–61
13244321,Armine_von_Tempski
