,occurences_epa,articles_epa,frac_of_articles_epa,occurences_nepa,articles_nepa,frac_of_articles_nepa,_merge,enrich_in_epa
numberon,269,102,0.013553016,59,45,0.0009,both,15.0589069
disney,460,175,0.023252724,159,79,0.00158,both,14.71691385
forb,106,90,0.011958544,68,48,0.00096,both,12.45681637
palestinian,271,81,0.010762689,78,46,0.00092,both,11.69857537
bestsel,249,173,0.022986978,115,101,0.00202,both,11.37969231
mtv,154,114,0.015147489,89,67,0.00134,both,11.30409605
gross,164,132,0.017539197,91,78,0.00156,both,11.24307529
sexual,648,219,0.029099123,223,132,0.00264,both,11.02239509
billion,380,270,0.035875631,235,166,0.00332,both,10.805913
symptom,196,74,0.00983258,73,46,0.00092,both,10.68758738
alltim,117,89,0.011825671,69,56,0.00112,both,10.55863483
youtub,171,88,0.011692798,78,57,0.00114,both,10.25684061
worldwid,598,475,0.063114536,352,322,0.00644,both,9.800393831
ideolog,105,84,0.011161307,66,57,0.00114,both,9.790620585
spawn,86,76,0.010098326,60,52,0.00104,both,9.709928658
spinoff,105,93,0.012357162,72,64,0.00128,both,9.654032687
toler,58,58,0.007706617,56,40,0.0008,both,9.633271326
sovereign,78,65,0.008636726,59,45,0.0009,both,9.596362241
samesex,53,23,0.003056072,56,16,0.00032,both,9.550225884
genocid,86,42,0.005580654,63,31,0.00062,both,9.001054409
globe,152,119,0.015811852,102,90,0.0018,both,8.784362359
violent,69,64,0.008503853,55,50,0.001,both,8.503853309
controversi,342,300,0.039861812,253,235,0.0047,both,8.481236677
racial,109,65,0.008636726,66,53,0.00106,both,8.147854733
opinion,97,88,0.011692798,77,72,0.00144,both,8.119998819
slaveri,90,45,0.005979272,68,37,0.00074,both,8.080097105
assert,67,58,0.007706617,56,48,0.00096,both,8.027726105
million,1698,983,0.130613872,1120,826,0.01652,both,7.906408711
perceiv,65,63,0.008370981,56,53,0.00106,both,7.89715151
bce,92,47,0.006245017,58,40,0.0008,both,7.806271592
obama,132,61,0.008105235,77,52,0.00104,both,7.79349537
teen,88,79,0.010496944,93,68,0.00136,both,7.718341123
neg,121,108,0.014350252,110,93,0.00186,both,7.715189494
predat,86,60,0.007972362,70,52,0.00104,both,7.665733151
espn,74,38,0.005049163,55,33,0.00066,both,7.650246821
conquer,83,61,0.008105235,61,53,0.00106,both,7.646448287
platinum,151,92,0.012224289,106,80,0.0016,both,7.640180707
mainstream,146,123,0.016343343,122,108,0.00216,both,7.566362536
grammi,209,135,0.017937816,161,119,0.00238,both,7.536897299
tension,56,51,0.006776508,59,45,0.0009,both,7.52945345
sitcom,103,81,0.010762689,85,72,0.00144,both,7.474089822
rivalri,53,41,0.005447781,57,37,0.00074,both,7.361866251
terrorist,82,57,0.007573744,67,52,0.00104,both,7.282446493
sequel,229,188,0.024980069,187,172,0.00344,both,7.261647992
rapper,200,142,0.018867925,148,131,0.00262,both,7.201497912
emmi,122,97,0.012888653,119,90,0.0018,both,7.160362595
infect,245,72,0.009566835,130,67,0.00134,both,7.139429084
portray,277,211,0.028036141,223,198,0.00396,both,7.079833681
exposur,54,52,0.006909381,64,49,0.00098,both,7.050388585
behaviour,63,57,0.007573744,59,54,0.00108,both,7.012726253
attitud,83,58,0.007706617,59,55,0.0011,both,7.00601551
monarchi,60,44,0.005846399,54,42,0.00084,both,6.959998988
religion,291,176,0.023385597,246,168,0.00336,both,6.959998988
uefa,259,100,0.013287271,133,96,0.00192,both,6.920453539
greatest,344,256,0.034015413,286,248,0.00496,both,6.857946217
lgbt,62,33,0.004384799,55,32,0.00064,both,6.851249003
teenag,127,107,0.01421738,119,104,0.00208,both,6.835278726
franchis,313,197,0.026175923,265,193,0.00386,both,6.781327323
sex,333,162,0.021525379,217,159,0.00318,both,6.768987009
conflict,292,204,0.027106032,231,201,0.00402,both,6.742794135
usag,99,80,0.010629817,87,79,0.00158,both,6.727732048
realiti,226,180,0.023917087,211,179,0.00358,both,6.680750679
palestin,158,60,0.007972362,89,60,0.0012,both,6.643635397
holocaust,60,40,0.005314908,78,40,0.0008,both,6.643635397
surpass,57,49,0.006510763,62,49,0.00098,both,6.643635397
abus,154,94,0.012490035,119,94,0.00188,both,6.643635397
alleg,133,100,0.013287271,108,101,0.00202,both,6.577856829
valuabl,82,75,0.009965453,84,76,0.00152,both,6.556219142
disput,186,147,0.019532288,169,149,0.00298,both,6.554459083
influenti,197,187,0.024847196,195,190,0.0038,both,6.538735891
recept,56,54,0.007175126,58,55,0.0011,both,6.522842026
condemn,54,50,0.006643635,58,51,0.00102,both,6.513368037
endors,54,50,0.006643635,62,51,0.00102,both,6.513368037
sunni,49,42,0.005580654,57,43,0.00086,both,6.489132249
assassin,122,79,0.010496944,96,81,0.00162,both,6.479595017
greatli,77,76,0.010098326,78,78,0.00156,both,6.473285772
humanitarian,39,36,0.004783417,60,37,0.00074,both,6.464077684
culmin,74,70,0.00930109,72,72,0.00144,both,6.45908997
arsen,64,33,0.004384799,75,34,0.00068,both,6.448234356
violenc,142,98,0.013021525,116,101,0.00202,both,6.446299692
muslim,324,167,0.022189742,273,173,0.00346,both,6.413220297
civilian,138,109,0.014483125,139,113,0.00226,both,6.408462463
estim,403,313,0.041589158,390,325,0.0065,both,6.398331936
nielsen,54,51,0.006776508,62,53,0.00106,both,6.392932175
plural,48,48,0.00637789,56,50,0.001,both,6.377889981
percent,137,95,0.012622907,134,99,0.00198,both,6.375205684
harm,66,47,0.006245017,61,49,0.00098,both,6.372466606
martial,117,86,0.011427053,116,90,0.0018,both,6.348362713
ce,78,59,0.00783949,71,62,0.00124,both,6.322169168
muhammad,134,62,0.008238108,104,66,0.00132,both,6.240990828
mammal,102,76,0.010098326,123,81,0.00162,both,6.233534447
acclaim,171,151,0.020063779,178,161,0.00322,both,6.230987236
risk,165,103,0.013685889,147,110,0.0022,both,6.220858599
colon,50,44,0.005846399,61,47,0.00094,both,6.219573563
xbox,120,44,0.005846399,74,47,0.00094,both,6.219573563
vari,268,241,0.032022323,274,258,0.00516,both,6.205876476
egypt,211,125,0.016609088,188,134,0.00268,both,6.19742108
nba,463,104,0.013818762,255,112,0.00224,both,6.169090012
icon,104,90,0.011958544,138,97,0.00194,both,6.164197791
withdraw,65,51,0.006776508,65,55,0.0011,both,6.160461914
global,447,333,0.044246612,458,360,0.0072,both,6.145362742
euro,83,61,0.008105235,82,66,0.00132,both,6.140329685
wider,62,61,0.008105235,66,66,0.00132,both,6.140329685
recur,49,47,0.006245017,56,51,0.00102,both,6.122565954
nationalist,91,70,0.00930109,99,76,0.00152,both,6.119137866
millennium,51,46,0.006112145,64,50,0.001,both,6.112144566
motiv,74,66,0.008769599,85,72,0.00144,both,6.089999114
conquest,68,52,0.006909381,76,57,0.00114,both,6.060860362
toy,87,52,0.006909381,83,57,0.00114,both,6.060860362
symbol,202,165,0.021923997,283,181,0.00362,both,6.05635271
economi,225,142,0.018867925,200,156,0.00312,both,6.047411708
largescal,52,50,0.006643635,56,55,0.0011,both,6.039668543
persist,50,49,0.006510763,62,54,0.00108,both,6.028483972
pakistani,104,61,0.008105235,93,68,0.00136,both,5.959731753
debat,134,116,0.015413234,162,130,0.0026,both,5.92816697
warfar,84,58,0.007706617,69,65,0.0013,both,5.92816697
islam,339,169,0.022455488,301,190,0.0038,both,5.909338853
trait,51,32,0.004251927,65,36,0.00072,both,5.905453686
illeg,110,88,0.011692798,123,99,0.00198,both,5.905453686
app,57,31,0.004119054,58,35,0.0007,both,5.88436278
consecut,238,169,0.022455488,223,191,0.00382,both,5.878399907
jew,222,84,0.011161307,168,95,0.0019,both,5.874372351
anim,1118,542,0.072017008,1012,615,0.0123,both,5.855041277
vast,79,78,0.010364071,89,89,0.00178,both,5.822511921
widespread,136,131,0.017406325,156,150,0.003,both,5.802108247
terror,108,61,0.008105235,92,70,0.0014,both,5.789453703
nintendo,99,40,0.005314908,79,46,0.00092,both,5.777074259
thriller,105,71,0.009433962,90,82,0.00164,both,5.752416015
poverti,64,56,0.007440872,81,65,0.0013,both,5.723747419
ingredi,48,37,0.00491629,71,43,0.00086,both,5.716616505
fertil,57,43,0.005713526,65,50,0.001,both,5.713526442
atom,166,73,0.009699708,139,85,0.0017,both,5.7057104
allstar,83,60,0.007972362,100,70,0.0014,both,5.694544626
spread,224,167,0.022189742,225,195,0.0039,both,5.689677494
increasingli,71,65,0.008636726,79,76,0.00152,both,5.68205659
respond,63,59,0.00783949,85,69,0.00138,both,5.680789688
substanc,92,59,0.00783949,102,69,0.00138,both,5.680789688
meat,88,52,0.006909381,98,61,0.00122,both,5.663426896
massacr,80,46,0.006112145,90,54,0.00108,both,5.659393116
citizenship,50,40,0.005314908,99,47,0.00094,both,5.654157785
particl,59,40,0.005314908,86,47,0.00094,both,5.654157785
guilti,59,50,0.006643635,71,59,0.00118,both,5.630199489
headlin,48,44,0.005846399,59,52,0.00104,both,5.621537644
cartoon,151,77,0.010231199,139,91,0.00182,both,5.621537644
midth,65,60,0.007972362,76,71,0.00142,both,5.614339772
cold,128,95,0.012622907,123,113,0.00226,both,5.585357192
belief,126,98,0.013021525,132,117,0.00234,both,5.564754435
ethnic,253,164,0.021791124,236,196,0.00392,both,5.55896023
definit,195,147,0.019532288,196,176,0.00352,both,5.548945474
behavior,154,101,0.013420144,178,122,0.00244,both,5.500058813
enforc,108,86,0.011427053,133,104,0.00208,both,5.493775425
rival,117,105,0.013951634,134,127,0.00254,both,5.492769423
diet,55,47,0.006245017,76,57,0.00114,both,5.478085328
garner,74,70,0.00930109,103,85,0.0017,both,5.471229151
reject,107,88,0.011692798,120,107,0.00214,both,5.463924439
classifi,187,151,0.020063779,202,184,0.00368,both,5.452113831
nobel,70,50,0.006643635,91,61,0.00122,both,5.445602785
proclaim,48,45,0.005979272,60,55,0.0011,both,5.435701689
therapi,87,44,0.005846399,84,54,0.00108,both,5.413332546
gender,108,61,0.008105235,94,75,0.0015,both,5.403490123
mytholog,113,82,0.010895562,120,101,0.00202,both,5.3938426
temperatur,144,86,0.011427053,134,106,0.00212,both,5.390119285
