,occurences_epa,articles_epa,frac_of_articles_epa,occurences_nepa,articles_nepa,frac_of_articles_nepa,_merge
also,4305,2926,0.388785543,13165,10045,0.2009,both
includ,3459,2243,0.298033484,7159,5607,0.11214,both
one,3532,2196,0.291788467,8776,6743,0.13486,both
first,3616,2144,0.284879086,9486,7028,0.14056,both
known,2610,2047,0.271990433,6816,5959,0.11918,both
american,2868,2019,0.268269997,6662,5355,0.1071,both
born,2294,1986,0.263885198,9551,8431,0.16862,both
state,3796,1876,0.2492692,10389,6886,0.13772,both
year,2816,1662,0.220834441,6857,4997,0.09994,both
unit,2830,1620,0.215253787,7160,5141,0.10282,both
use,2934,1560,0.207281424,6647,4195,0.0839,both
world,3118,1540,0.20462397,5509,4007,0.08014,both
time,2188,1480,0.196651608,4789,3674,0.07348,both
two,2120,1474,0.195854372,5722,4575,0.0915,both
name,2024,1435,0.190672336,6858,5145,0.1029,both
may,2015,1414,0.187882009,5032,4188,0.08376,both
new,2139,1309,0.173930375,8152,5338,0.10676,both
sinc,1577,1234,0.163964922,3165,2743,0.05486,both
nation,2063,1215,0.16144034,6931,4905,0.0981,both
follow,1542,1184,0.157321286,3037,2637,0.05274,both
mani,1569,1177,0.156391177,3016,2517,0.05034,both
seri,2289,1096,0.145628488,3717,2254,0.04508,both
film,3520,1076,0.142971034,6498,2783,0.05566,both
releas,2466,1064,0.141376561,5156,3266,0.06532,both
th,1717,1063,0.141243689,4693,3258,0.06516,both
becam,1487,1051,0.139649216,3101,2501,0.05002,both
sever,1283,1039,0.138054744,2693,2366,0.04732,both
well,1160,1013,0.134600053,2855,2498,0.04996,both
origin,1276,1007,0.133802817,3413,2835,0.0567,both
part,1273,993,0.131942599,5026,4214,0.08428,both
number,1642,983,0.130613872,2830,2125,0.0425,both
million,1698,983,0.130613872,1120,826,0.01652,both
produc,1370,973,0.129285145,3117,2467,0.04934,both
three,1283,967,0.128487909,3213,2744,0.05488,both
play,1590,962,0.127823545,7805,5028,0.10056,both
found,1168,958,0.127292054,4503,3953,0.07906,both
member,1397,956,0.127026309,4922,3785,0.0757,both
work,1397,947,0.125830454,5360,3664,0.07328,both
group,1645,942,0.125166091,3641,2422,0.04844,both
later,1165,940,0.124900345,3180,2689,0.05378,both
form,1323,937,0.124501727,2982,2429,0.04858,both
second,1215,933,0.123970237,3351,2827,0.05654,both
call,1263,931,0.123704491,2693,2235,0.0447,both
peopl,1496,931,0.123704491,2637,2073,0.04146,both
gener,1263,922,0.122508637,3417,2602,0.05204,both
refer,1137,903,0.119984055,2246,1942,0.03884,both
intern,1286,887,0.117858092,3243,2393,0.04786,both
major,1158,870,0.115599256,2274,1847,0.03694,both
record,1849,863,0.114669147,4852,2953,0.05906,both
develop,1358,863,0.114669147,3087,2198,0.04396,both
televis,1331,863,0.114669147,2188,1564,0.03128,both
appear,1199,853,0.11334042,2405,1883,0.03766,both
countri,1458,836,0.111081584,2451,1816,0.03632,both
award,2117,821,0.109088493,3352,1865,0.0373,both
best,1214,819,0.108822748,2594,2141,0.04282,both
made,1005,814,0.108158384,2857,2360,0.0472,both
us,1358,810,0.107626893,3207,2150,0.043,both
base,932,798,0.106032421,3109,2716,0.05432,both
centuri,1335,777,0.103242094,2109,1556,0.03112,both
often,968,766,0.101780494,1452,1248,0.02496,both
featur,1078,753,0.100053149,2815,2221,0.04442,both
success,1074,752,0.099920276,1509,1290,0.0258,both
citi,1534,742,0.098591549,5328,3513,0.07026,both
live,1021,737,0.097927186,2601,2057,0.04114,both
earli,914,735,0.09766144,2214,1901,0.03802,both
term,1139,732,0.097262822,1479,1127,0.02254,both
role,1071,722,0.095934095,1536,1233,0.02466,both
began,855,715,0.095003986,1469,1286,0.02572,both
make,825,714,0.094871113,1728,1509,0.03018,both
current,824,709,0.09420675,3135,2851,0.05702,both
receiv,887,698,0.09274515,1864,1554,0.03108,both
show,1282,698,0.09274515,2323,1443,0.02886,both
music,1512,696,0.092479405,4034,2295,0.0459,both
list,1074,696,0.092479405,3325,2286,0.04572,both
univers,1184,688,0.091416423,5752,3195,0.0639,both
histori,895,687,0.09128355,1869,1422,0.02844,both
lead,849,686,0.091150678,1642,1421,0.02842,both
associ,816,666,0.088493223,2470,1997,0.03994,both
becom,780,665,0.088360351,1354,1214,0.02428,both
four,828,661,0.08782886,2121,1814,0.03628,both
war,1651,656,0.087164496,3448,2228,0.04456,both
person,857,650,0.08636726,1261,996,0.01992,both
critic,890,643,0.085437151,1048,839,0.01678,both
juli,764,637,0.084639915,2781,2475,0.0495,both
although,720,637,0.084639915,1328,1238,0.02476,both
popular,806,634,0.084241297,1341,1134,0.02268,both
serv,884,633,0.084108424,4067,3079,0.06158,both
march,770,633,0.084108424,2966,2586,0.05172,both
polit,995,629,0.083576933,1576,1165,0.0233,both
june,760,624,0.08291257,2758,2436,0.04872,both
novemb,772,624,0.08291257,2624,2362,0.04724,both
consid,710,622,0.082646824,1187,1083,0.02166,both
south,972,621,0.082513952,4701,3436,0.06872,both
public,819,620,0.082381079,2570,1929,0.03858,both
end,779,615,0.081716715,2179,1820,0.0364,both
support,850,614,0.081583843,1685,1306,0.02612,both
among,711,611,0.081185225,1255,1130,0.0226,both
star,978,608,0.080786606,2086,1599,0.03198,both
septemb,723,606,0.080520861,2865,2560,0.0512,both
govern,1068,605,0.080387988,2498,1751,0.03502,both
octob,730,601,0.079856497,2737,2446,0.04892,both
howev,673,601,0.079856497,1638,1471,0.02942,both
variou,686,600,0.079723625,1265,1147,0.02294,both
product,868,595,0.079059261,2043,1445,0.0289,both
titl,941,594,0.078926389,2171,1677,0.03354,both
januari,712,590,0.078394898,2739,2437,0.04874,both
april,698,590,0.078394898,2638,2337,0.04674,both
direct,717,590,0.078394898,2201,1912,0.03824,both
north,859,588,0.078129152,3978,2977,0.05954,both
creat,701,588,0.078129152,1866,1579,0.03158,both
perform,836,587,0.07799628,2273,1574,0.03148,both
life,804,586,0.077863407,1566,1274,0.02548,both
third,696,583,0.077464789,1620,1431,0.02862,both
english,800,582,0.077331916,2591,2125,0.0425,both
singl,1531,582,0.077331916,2795,1753,0.03506,both
area,891,579,0.076933298,4367,3178,0.06356,both
place,679,578,0.076800425,3460,2926,0.05852,both
british,1005,577,0.076667552,2869,2153,0.04306,both
result,740,576,0.07653468,1256,1083,0.02166,both
age,769,575,0.076401807,1450,1220,0.0244,both
debut,939,573,0.076136062,1383,1168,0.02336,both
former,664,571,0.075870316,3297,2909,0.05818,both
around,660,565,0.07507308,1568,1399,0.02798,both
game,1685,562,0.074674462,3968,2000,0.04,both
larg,690,562,0.074674462,1630,1421,0.02842,both
season,1357,560,0.074408716,4177,2184,0.04368,both
human,919,560,0.074408716,1165,850,0.017,both
career,829,559,0.074275844,1783,1448,0.02896,both
profession,722,558,0.074142971,2300,1944,0.03888,both
cultur,861,554,0.07361148,1108,792,0.01584,both
decemb,653,553,0.073478607,2620,2348,0.04696,both
act,767,548,0.072814244,1660,1090,0.0218,both
organ,900,547,0.072681371,2003,1388,0.02776,both
day,821,544,0.072282753,1969,1489,0.02978,both
establish,666,543,0.07214988,1907,1668,0.03336,both
team,1281,542,0.072017008,4857,2808,0.05616,both
anim,1118,542,0.072017008,1012,615,0.0123,both
august,628,538,0.071485517,2726,2441,0.04882,both
differ,711,538,0.071485517,1531,1256,0.02512,both
commun,709,531,0.070555408,3623,2669,0.05338,both
top,931,531,0.070555408,1519,1180,0.0236,both
five,647,530,0.070422535,1365,1189,0.02378,both
continu,607,526,0.069891044,1323,1171,0.02342,both
famili,750,525,0.069758172,5065,4421,0.08842,both
album,2424,524,0.069625299,5764,2379,0.04758,both
led,680,524,0.069625299,1062,931,0.01862,both
high,743,519,0.068960935,2445,1728,0.03456,both
system,902,519,0.068960935,2637,1615,0.0323,both
within,611,517,0.06869519,2246,2040,0.0408,both
author,675,516,0.068562317,1896,1545,0.0309,both
addit,555,515,0.068429445,1221,1102,0.02204,both
america,714,515,0.068429445,1313,1089,0.02178,both
februari,577,511,0.067897954,2394,2143,0.04286,both
book,870,504,0.066967845,2749,1641,0.03282,both
offici,614,503,0.066834972,1350,1183,0.02366,both
power,820,501,0.066569227,1453,991,0.01982,both
describ,607,498,0.066170609,1578,1429,0.02858,both
school,1193,497,0.066037736,5407,2410,0.0482,both
popul,929,496,0.065904863,3745,3182,0.06364,both
region,747,496,0.065904863,3394,2694,0.05388,both
wide,565,496,0.065904863,901,831,0.01662,both
locat,617,492,0.065373372,5758,4775,0.0955,both
actor,824,490,0.065107627,1023,817,0.01634,both
remain,557,487,0.064709009,1359,1210,0.0242,both
death,734,479,0.063646027,1452,1176,0.02352,both
worldwid,598,475,0.063114536,352,322,0.00644,both
west,711,474,0.062981664,3061,2399,0.04798,both
start,570,474,0.062981664,1751,1515,0.0303,both
late,548,472,0.062715918,1248,1109,0.02218,both
modern,622,472,0.062715918,1000,835,0.0167,both
compani,800,471,0.062583045,3462,2028,0.04056,both
independ,656,471,0.062583045,1257,1025,0.0205,both
activ,618,470,0.062450173,1531,1258,0.02516,both
charact,876,470,0.062450173,1096,736,0.01472,both
air,716,460,0.061121446,1799,1198,0.02396,both
posit,549,460,0.061121446,1304,1076,0.02152,both
repres,588,459,0.060988573,2626,2175,0.0435,both
due,546,459,0.060988573,1197,1094,0.02188,both
forc,797,458,0.0608557,1769,1170,0.0234,both
artist,852,455,0.060457082,1821,1375,0.0275,both
video,798,451,0.059925591,1073,714,0.01428,both
right,789,450,0.059792719,1138,836,0.01672,both
last,515,449,0.059659846,1703,1515,0.0303,both
largest,678,449,0.059659846,1103,932,0.01864,both
offic,628,445,0.059128355,2260,1627,0.03254,both
east,675,438,0.058198246,2584,2058,0.04116,both
along,493,437,0.058065373,1724,1539,0.03078,both
studio,753,436,0.057932501,1426,1175,0.0235,both
involv,493,436,0.057932501,986,887,0.01774,both
like,537,435,0.057799628,1493,1266,0.02532,both
accord,528,434,0.057666755,1243,1115,0.0223,both
tradit,552,434,0.057666755,1291,1034,0.02068,both
set,544,432,0.05740101,1659,1306,0.02612,both
period,617,431,0.057268137,1267,1078,0.02156,both
publish,574,426,0.056603774,2911,2004,0.04008,both
six,476,426,0.056603774,1037,936,0.01872,both
consist,476,425,0.056470901,1320,1232,0.02464,both
social,657,425,0.056470901,1129,772,0.01544,both
media,554,425,0.056470901,793,587,0.01174,both
caus,629,424,0.056338028,808,668,0.01336,both
win,668,423,0.056205155,1366,1029,0.02058,both
john,542,420,0.055806537,2614,1938,0.03876,both
mean,564,419,0.055673665,1202,963,0.01926,both
home,519,416,0.055275047,2014,1633,0.03266,both
sign,573,415,0.055142174,858,682,0.01364,both
chang,568,414,0.055009301,1307,1029,0.02058,both
central,527,413,0.054876428,2328,2002,0.04004,both
kingdom,599,413,0.054876428,1188,883,0.01766,both
presid,875,411,0.054610683,1953,1306,0.02612,both
common,563,411,0.054610683,1277,1083,0.02166,both
parti,977,410,0.05447781,2592,1300,0.026,both
european,685,410,0.05447781,1345,953,0.01906,both
control,588,409,0.054344938,1003,716,0.01432,both
rank,559,407,0.054079192,736,540,0.0108,both
return,505,406,0.053946319,1297,1068,0.02136,both
industri,529,402,0.053414829,1285,983,0.01966,both
europ,592,401,0.053281956,964,821,0.01642,both
final,569,398,0.052883338,2141,1594,0.03188,both
reach,535,397,0.052750465,1207,997,0.01994,both
usual,492,397,0.052750465,878,741,0.01482,both
song,817,396,0.052617592,3684,1606,0.03212,both
present,471,394,0.052351847,1408,1167,0.02334,both
histor,468,393,0.052218974,2474,1584,0.03168,both
would,519,393,0.052218974,1886,1393,0.02786,both
move,486,392,0.052086102,1573,1292,0.02584,both
initi,466,392,0.052086102,915,800,0.016,both
player,944,391,0.051953229,2746,1968,0.03936,both
take,458,391,0.051953229,1281,1143,0.02286,both
relat,465,385,0.051155993,1159,970,0.0194,both
singer,506,385,0.051155993,978,830,0.0166,both
law,612,384,0.05102312,1560,873,0.01746,both
numer,436,384,0.05102312,632,564,0.01128,both
written,436,383,0.050890247,1758,1589,0.03178,both
natur,528,383,0.050890247,1273,999,0.01998,both
held,448,381,0.050624502,2387,1974,0.03948,both
design,531,381,0.050624502,2748,1907,0.03814,both
much,412,381,0.050624502,863,798,0.01596,both
leagu,1007,379,0.050358756,3775,2184,0.04368,both
nomin,552,379,0.050358756,637,497,0.00994,both
program,527,378,0.050225884,1763,1143,0.02286,both
great,561,378,0.050225884,1248,1040,0.0208,both
servic,528,377,0.050093011,2541,1762,0.03524,both
indian,724,375,0.049827265,1495,1089,0.02178,both
oper,634,372,0.049428647,2640,1867,0.03734,both
york,613,369,0.049030029,2368,1605,0.0321,both
provid,443,369,0.049030029,1892,1514,0.03028,both
studi,515,363,0.048232793,1900,1362,0.02724,both
western,479,363,0.048232793,1604,1334,0.02668,both
india,799,362,0.04809992,1485,1074,0.02148,both
total,431,362,0.04809992,1191,996,0.01992,both
sometim,407,362,0.04809992,891,815,0.0163,both
hous,548,361,0.047967048,3603,2180,0.0436,both
announc,437,361,0.047967048,707,612,0.01224,both
commonli,402,360,0.047834175,667,637,0.01274,both
militari,592,355,0.047169811,1064,772,0.01544,both
claim,493,355,0.047169811,625,522,0.01044,both
